Posicion,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
67,M. Estep,B. Phillips-Moore,C. Barazzutti,R. Laver,O. Bengtson,P. Dent,Z. Franulovic,B. Manson,R. Frawley,J. Lapidus,F. Gonzalez,M. Dickson,B. Teacher,R. Agenor,J. Navratil,T. Witsken,W. Masur,M. Wilander,J. Gunnarsson,T. Carbonell,D. Rostagno,H. Holm,R. Reneberg,R. Carretero,S. Sargsian,A. Voinea,D. Nestor,A. Calatrava,D. Sanguinetti,A. Voinea,T. Martin,H. Lee,A. Clement,N. Mahut,F. Dancevic,V. Hanescu,M. González,R. Haase,A. Mannarino,T. Ito,K. De Schepper,D. Tursunov,N. Mahut,D. Brown,F. Delbonis,P. Cuevas,M. Cecchinato
68,F. McMillan,M. Lara,Z. Franulovic,B. Scanlon,K. Richardson,F. McMillan,B. Drewett,A. Gimenez,F. Luna,A. Jarryd,T. Wilkison,S. Perkiss,K. Flach,B. Dyke,A. Agassi,J. Yzaga,P. Annacone,H. De La Pena,W. Ferreira,G. Prpic,P. McEnroe,A. Mansdorf,O. Delaitre,S. Stolle,J. Van Herck,K. Carlsen,C. Woodruff,V. Voltchkov,J. Boutter,K. Kucera,K. Carlsen,N. Escude,M. Zabaleta,I. Karlovic,S. Grosjean,G. Muller,S. Greul,F. Fognini,Y. Lu,N. Mahut,N. Mahut,R. Haase,E. Gulbis,P. Mathieu,J. Tipsarevic,P. Herbert,C. Norrie
69,F. Froehling,K. Warwick,E. Van Dillen,O. Bengtson,R. Fagel,C. Dowdeswell,K. Warwick,M. Cox,S. Birner,C. Panatta,R. Simpson,E. Sanchez,W. Fibak,S. Colombo,H. De La Pena,H. De La Pena,P. Aldrich,V. Paloheimo,D. Cahill,S. Stolle,K. Carlsen,C. Adams,D. Prinosil,M. Damm,J. Stark,M. Damm,M. Hipfl,C. Woodruff,C. Pioline,M. Philippoussis,F. Vicente,J. Nieminen,A. Montañes,A. Seppi,M. Gicquel,M. Daniel,M. Gicquel,M. Chiudinelli,C. Berlocq,T. Kamke,A. Bogomolov Jr.,C. Berlocq,R. Haase,D. Sela,P. Herbert,A. Rublev,T. Sandgren
70,I. Tiriac,P. Gerken,F. McMillan,M. Riessen,B. Martin,C. Letcher,J. Kodes,Z. Franulovic,B. Walts,T. Gullikson,F. Cancellotti,P. Slozil,J. Goes,C. Motta,J. Yzaga,J. Grabb,L. Shiras,M. Srejber,C. Saceanu,J. Svensson,A. Corretja,K. Kucera,K. Carlsen,G. Rusedski,J. Stoltenberg,T. Woodbridge,M. Gustafsson,M. Larsson,A. Montañes,H. Arazi,K. Beck,R. Mello,I. Minar,J. Mónaco,C. Berlocq,Y. Lu,P. Luczak,P. Cuevas,F. Volandri,M. Kukushkin,V. Troicki,A. Ramos Viñolas,T. Kokkinakis,D. Schwartzman,J. Thompson,M. Jaziri,R. Berankis
71,R. Maud,P. Dominguez,I. Molina,R. Ruffels,S. Stewart,M. Riessen,J. Sadri,F. Taygan,J. Arias,R. Simpson,T. Tulasne,G. Holmes,J. Brown,H. Sundstrom,P. Rebolledo,T. Tulasne,R. Seguso,A. Rahunen,S. Matsuoka,N. Kulti,G. Raoux,B. Gilbert,A. Jarryd,N. Kulti,N. Kiefer,O. Gross,G. Canas,A. Calleri,C. Rochus,F. López,M. Ancic,O. Rochus,R. Vik,J. Gimelstob,N. Mahut,I. Navarro,M. Daniel,F. Serra,P. Riba,J. Levine,D. Goffin,J. Sock,B. Becker,H. Zeballos,T. Fabbiano,J. Tsonga,A. Bublik
72,B. Carmichael,I. Tiriac,R. Ruffels,J. Gisbert Sr,J. Lloyd,G. Masters,C. Motta,R. Krishnan,B. Mottram,N. Odizor,R. Ramirez,S. Giammalva Jr.,J. Lloyd,M. Schapers,T. Meinecke,C. Saceanu,M. Koevermans,R. Furlan,L. Mattar,B. Wuyts,J. Burillo,J. Renzenbrink,M. Joyce,J. Burillo,H. Dreekmann,J. Courier,A. Portas,M. Damm,J. Vacek,F. Meligeni,L. Horna,J. Acasuso,J. Hernych,M. Safin,M. Russell,F. Fognini,I. Minar,H. Zeballos,J. Benneteau,L. Kubot,L. Kubot,I. Sijsling,R. Berankis,C. Berlocq,G. Pella,F. López,J. del Potro
73,B. Phillips-Moore,O. Bengtson,H. Ploetz,J. Velasco Sr,F. McMillan,P. Feigl,D. Schneider,M. Edmondson,P. Dupre,M. Martinez,V. Van Patten,P. Rebolledo,M. Ingaramo,W. Masur,P. Vojtischek,J. Rive,T. Carbonell,P. Lundgren,L. Jonsson,C. Van Rensburg,A. Olhovskiy,J. Bates,K. Alami,G. Schaller,P. Haarhuis,A. Medvedev,G. Gaudio,J. Stoltenberg,L. Burgsmuller,R. Stepanek,R. Ramirez Hidalgo,D. Tursunov,O. Hernandez,W. Moodie,N. Massú,I. Kunitsyn,E. Korolev,I. Marchenko,K. Beck,G. Zemlja,B. Becker,A. Falla,H. Chung,D. Lajovic,F. Tiafoe,T. Berdych,J. Chardy
74,W. N'Godrella,P. Barthes,H. Pohmann,A. Betancur,T. Gullikson,P. Dupre,P. Dominguez,P. Feigl,H. Pfister,H. Simonsson,F. Segarceanu,V. Van Patten,S. Zivojinovic,M. Davis,D. Perez,Y. Doumbia,A. Cherkasov,T. Woodbridge,G. Markus,M. Zoecke,T. Carbonell,H. Leconte,S. Pescosolido,K. Alami,T. Haas,J. Tarango,M. Woodforde,N. Massú,V. Voltchkov,R. Sluiter,J. Acasuso,J. Gambill,R. Sabau,D. Sanguinetti,M. Vassallo Arguello,N. Mahut,Y. Lu,A. Falla,J. Blake,D. Gimeno-Traver,V. Hanescu,A. Mannarino,J. Millman,D. Dzumhur,R. Dutra Silva,C. Norrie,A. Seppi
75,I. El Shafei,H. Kary,B. Mitton,F. McMillan,J. Hrebec,Y. Noah,T. Gullikson,S. Glickstein,G. Moretton,J. Brown,B. Drewett,G. Ocleppo,M. Mitchell,M. Dickson,D. Goldie,A. Olhovskiy,R. Reneberg,B. Pearce,G. Connell,M. Schapers,J. Eltingh,H. Dreekmann,J. Stark,G. Raoux,L. Roux,D. Prinosil,J. Tarango,M. Hantschk,H. Levy,L. Burgsmuller,M. Norman,J. Benneteau,J. Mónaco,B. Becker,D. Hartfield,J. Chardy,R. Ginepri,L. Lacko,O. Rochus,S. Bolelli,I. Sijsling,P. Lorenzi,L. Pouille,J. Chardy,T. Bellucci,T. Daniel,F. Delbonis
76,J. Simpson,A. Zugarelli,P. Dominguez,B. Teacher,J. Delaney,J. Borowiak,M. Edmondson,P. Kronk,B. Drewett,R. Frawley,P. Dupre,S. Glickstein,F. Cancellotti,W. Fibak,F. Cancellotti,E. Bengoechea,S. Matsuoka,R. Krishnan,S. Pescosolido,B. Shelton,Y. El Aynaoui,M. Goellner,J. Apell,A. Volkov,F. Meligeni,A. Pavel,C. Mamiit,C. Rochus,J. Diaz,B. Ulihrach,J. van Lottum,R. Stepanek,A. Seppi,V. Spadea,A. Seppi,P. Starace,O. Hernandez,R. Mello,G. Dimitrov,B. Phau,A. Ramos Viñolas,S. Bolelli,D. Kudla,V. Estrella Burgos,S. Darcis,A. Bedene,N. Jarry
77,P. Barthes,M. Holecek,B. Andersson,P. Fleming,T. Smid,P. Proisy,A. Stone,J. Alexander,P. Slozil,L. Bourne,C. Hooper,E. Edwards,R. Osterthun,A. Mansdorf,N. Odizor,C. Bergstrom,J. Woehrmann,N. Kulti,A. Mronz,J. Eltingh,H. Leconte,E. Sanchez,S. Schalken,A. Chesnokov,A. Radulescu,S. Grosjean,B. Ulihrach,S. Sargsian,A. Stoliarov,A. Montañes,V. Hanescu,P. Mathieu,F. Mayer,P. Goldstein,M. Berrer,T. Johansson,M. Ancic,O. Rochus,I. Karlovic,S. Darcis,J. Sousa,J. Vesely,N. Almagro,I. Cervantes,D. Sela,L. Lacko,R. Carballés Baena
78,H. Rahim,R. Dowdeswell,H. Kary,C. Dibley,N. Pilic,P. McNamara,E. Van Dillen,P. Elter,T. Wilkison,M. Estep,J. Nystrom,T. Allan,B. Oresar,L. Lavalle,L. Mattar,J. Stoltenberg,C. Bergstrom,T. Champion,T. Mayotte,C. Miniussi,B. Black,B. Black,J. Burillo,K. Kucera,G. Stafford,F. Vicente,G. Blanco,J. Tarango,N. Massú,N. Davydenko,A. Portas,G. Carraz,M. Baghdatis,G. García-López,V. Spadea,O. Hernandez,A. Martin,P. Riba,L. Rosol,F. Cipolla,T. Kamke,M. Matosevic,D. Gimeno-Traver,R. Berankis,D. Istomin,M. Basic,I. Karlovic
79,J. Kamiwazumi,S. Stewart,G. Goven,T. Waltke,B. Walts,B. Bertram,P. Proisy,R. Cano,J. Borowiak,C. Motta,E. Fromm,T. Wilkison,R. Arguello,J. Fitzgerald,J. Sanchez,J. Courier,P. Haarhuis,T. Carbonell,T. Carbonell,J. Grabb,H. De La Pena,Y. El Aynaoui,J. Tarango,M. Goellner,S. Stolle,J. Marin,B. Black,A. Popp,O. Rochus,F. Saretta,B. Vahaly,F. Mantilla,K. Kim,J. Hajek,B. Becker,T. Bellucci,M. Granollers,R. Ramirez Hidalgo,P. Cuevas,J. Janowicz,J. Sock,T. Bellucci,A. Zverev,D. Young,C. Stebe,M. McDonald,J. Millman
80,I. Fletcher,D. Crealy,R. Moore,B. Prajoux,B. Teacher,C. Kirmayr,B. Manson,B. Martin,I. Nastase,I. Nastase,C. Dowdeswell,M. Davis,F. Gonzalez,J. Sadri,M. Woodforde,T. Smid,M. Schapers,M. Woodforde,M. Filippini,K. Curren,J. Frana,F. Clavet,M. Goellner,J. Kroslak,M. Tillstrom,G. Canas,N. Escude,A. Sa,A. Ilie,P. Mathieu,W. Moodie,G. Rusedski,N. Lapentti,F. López,K. Vliegen,D. Gimeno-Traver,T. Gabashvili,D. Brands,A. Ramos Viñolas,I. Karlovic,I. Karlovic,M. Jaziri,D. Schwartzman,M. Kukushkin,M. Jaziri,G. García-López,P. Kohlschreiber
81,A. Munoz,S. Krulevitz,N. Spear,K. Warwick,N. Spear,E. Iskersky,M. Cox,N. Saviano,T. Giammalva,R. Krishnan,V. Pecci Sr.,M. Jaite,S. Perkiss,S. Davis,S. Giammalva Jr.,C. Steeb,A. Antonitsch,M. Larsson,C. Costa,L. Mattar,A. Antonitsch,J. Tarango,T. Carbonell,B. Steven,J. Gimelstob,S. Schalken,K. Carlsen,R. Fromberg,M. Hipfl,H. Lee,J. Melzer,S. Koubek,N. Djokovic,S. Greul,I. Kunitsyn,C. Guccione,K. Vliegen,L. Mayer,A. Haider-Maurer,G. Muller,G. Zemlja,V. Estrella Burgos,M. Granollers,T. Bellucci,M. Kukushkin,M. Copil,P. Gunneswaran
82,J. Chanfreau,S. Ball,C. Dibley,J. Yuill,J. Yuill,A. Stone,N. Saviano,T. Gorman,A. Jarryd,F. Segarceanu,B. Gilbert,C. Lewis (NZL),M. Flur,P. Cash,J. Fleurian,B. Dyke,G. Layendecker,C. Bergstrom,P. Kuhnen,S. Youl,A. Gaudenzi,G. Forget,J. Novak,J. Viloca-Puig,D. Pescariu,J. Novak,P. Wessels,P. Goldstein,D. Sanchez,K. Pless,D. Ferrer,P. Starace,I. Karlovic,A. Montañes,X. Malisse,O. Rochus,B. Phau,M. Kukushkin,R. Harrison,R. Bautista Agut,A. Bedene,A. Kuznetsov,L. Rosol,A. Bedene,V. Estrella Burgos,J. Munar,H. Dellien
83,M. Holecek,I. Fletcher,P. Gerken,J. Kuki,N. Saviano,R. Moore,R. Fagel,K. Johansson,U. Pinner,C. Barazzutti,J. Lapidus,B. Drewett,J. Aguilera,G. Michibata,D. Cahill,T. Champion,M. Gustafsson,J. Gunnarsson,H. De La Pena,H. Leconte,D. Prinosil,A. O'Brien,C. Steeb,B. Karbacher,A. O'Brien,H. Dreekmann,P. Goldstein,B. Ulihrach,J. Balcells,A. Popp,L. Burgsmuller,D. Van Scheppingen,F. Santoro,G. Coria,M. Zabaleta,S. Stakhovsky,O. Rochus,E. Korolev,V. Hanescu,P. Lorenzi,L. Lacko,D. Sela,D. Dzumhur,A. Pavlasek,M. Copil,J. Kovalik,K. Majchrzak
84,J. Lloyd,A. Amritraj,H. Rahim,J. Ganzabal,P. Dominguez,P. Elter,A. Gomez,T. Waltke,D. Perez,A. Ganzabal,P. Slozil,R. Harmon,C. Panatta,C. Miniussi,L. Pimek,J. Gunnarsson,R. Krishnan,F. Santoro,P. Baur,M. Naewie,A. Jarryd,L. Jonsson,F. Fetterlein,H. Arazi,A. Gaudenzi,L. Arnold Ker,J. Gimelstob,J. Vanek,J. Acasuso,L. Horna,I. Labadze,P. Kohlschreiber,T. Behrend,N. Lapentti,A. Delic,B. Reynolds,P. Capdeville,F. Gil,N. Mahut,B. Becker,G. Rufin,P. Mathieu,M. Ilhan,J. Struff,D. Lajovic,E. Donskoy,S. Travaglia
85,J. Paish,P. Kronk,H. Elschenbroich,J. Caujolle,R. Simpson,I. Molina,P. McNamee,R. Simpson,A. Gimenez,H. Solomon,J. Borowiak,P. Annacone,C. Hooper,E. Bengoechea,C. Bergstrom,F. Cancellotti,B. Oresar,M. Mecir Sr.,E. Jelen,L. Herrera,G. Pozzi,J. Apell,S. Draper,J. Tarango,R. Furlan,M. Goellner,J. van Lottum,J. Gimelstob,A. Calatrava,A. Portas,G. Carraz,D. Sanchez,P. Goldstein,R. Schuettler,L. Horna,K. Nishikori,R. Kendrick,D. Sela,J. Ferrero,R. Berankis,P. Lorenzi,L. Lacko,R. Bemelmans,L. Rosol,V. Pospisil,V. Pospisil,D. Koepfer
86,M. Lara,J. Lloyd,J. Mandarino,A. Stone,G. Mayer,S. Stewart,J. Caujolle,J. Caujolle,N. Saviano,N. Saviano,N. Odizor,C. Hooper,T. Benhabiles,T. Nelson,D. Visser,F. Davin,M. Strelba,N. Kroon,J. Frana,T. Champion,F. Clavet,L. Mattar,N. Marques,R. Fromberg,C. Costa,S. Lareau,G. Pozzi,D. Sanguinetti,K. Pless,S. Sargsian,A. Vinciguerra,A. Popp,G. García-López,R. Vik,E. Korolev,D. Gremelmayr,F. Serra,M. Russell,S. Darcis,J. Zopp,D. Sela,M. Kukushkin,D. Lajovic,G. Melzer,J. Chardy,L. Djere,M. Copil
87,V. Zednik,G. Reid,M. Estep,G. Mayer,R. Cano,A. Gardiner,K. Johansson,F. Luna,P. Portes,C. Johnstone,T. Gullikson,J. Brown,E. Sanchez,S. Casal,C. Pistolesi,D. Nargiso,J. Potier,M. Washington,K. Curren,T. Witsken,B. Shelton,G. Raoux,A. Olhovskiy,M. Norman,J. Viloca-Puig,A. Clement,R. Fromberg,W. Arthurs,W. Arthurs,F. Squillari,V. Voltchkov,J. Hernych,L. Dlouhy,K. Kim,A. Pavel,A. Clement,F. Fognini,M. Granollers,D. Gimeno-Traver,L. Rosol,J. Vesely,B. Rola,R. Ram,T. Monteiro,A. Seppi,M. Kukushkin,T. Paul
88,C. Barazzutti,G. Goven,N. Holmes,V. Amaya,S. Krulevitz,J. Hrebec,M. Cahill,J. Velasco Sr,A. Maurer,Z. Kuharszky,R. Acuna,C. Panatta,J. Svensson,C. Kirmayr,R. Osterthun,S. Giammalva Jr.,G. Muller,P. Cane,A. Boetsch,G. Lopez,P. Rafter,J. Grabb,M. Philippoussis,M. Joyce,R. Fromberg,L. Paes,H. Gumy,G. Ivanisevic,M. Gustafsson,M. Fish,I. Karlovic,A. Montañes,R. Mello,R. Sluiter,S. Bolelli,V. Spadea,C. Rochus,T. Kamke,M. Berrer,A. Bedene,E. Donskoy,D. Schwartzman,D. Munoz-De La Nava,Y. Sugita,E. Donskoy,S. Wawrinka,T. Fabbiano
89,Z. Franulovic,V. Zednik,S. Menon,F. McNair IV,V. Amaya,W. Prinsloo,P. Kronk,P. Hjertquist,R. Simpson,S. Smith,P. Fleming,M. Westphal,P. Doohan,F. Yunis,B. Testerman,T. Meinecke,M. Stich,D. Goldie,B. Wuyts,L. Lavalle,J. Arrese,J. Fleurian,K. Novacek,S. Draper,N. Lapentti,G. Blanco,L. Tieleman,J. Balcells,S. Bruguera,A. Savolt,O. Hernandez,W. Arthurs,L. Burgsmuller,J. Hernych,B. Pashanski,T. Gabashvili,A. Mannarino,M. Przysiezny,S. Devvarman,F. Volandri,S. Giraldo,B. Paire,P. Lorenzi,T. Daniel,N. Gombos,M. Baghdatis,G. Barrere
90,B. Seewagen,C. Dibley,P. Kronk,K. Johansson,F. Gebert,P. Dominguez,P. Portes,I. Nastase,B. Fritz,J. Soares,D. Bedel,M. Edmondson,M. Purcell,T. Champion,P. Fleming,T. Nelson,G. Connell,P. Cash,G. Lopez,J. Bates,S. Dosedel,J. Morgan,R. Fromberg,J. Frana,M. Ondruska,S. Campbell,J. Knippschild,J. Boutter,M. Russell,M. Llodra,C. Rochus,V. Hanescu,P. Kohlschreiber,A. Pavel,P. Luczak,S. Grosjean,K. Beck,R. Schuettler,M. Klizan,A. Bogomolov Jr.,M. Przysiezny,S. Stakhovsky,P. Mathieu,I. Dodig,E. Escobedo,L. Sonego,A. Popyrin
91,J. Borowiak,L. Johansson,B. Giltinan,P. Cornejo,I. Molina,R. Ruffels,F. Gonzalez,G. Guerrero,P. Elter,J. Garcia-Requena,D. Tarr,S. Meister,B. Green,G. Donnelly,C. Motta,C. Motta,D. Rostagno,F. Clavet,L. Herrera,R. Agenor,K. Braasch,M. Petchey,C. Moya,C. Steeb,K. Carlsen,J. van Lottum,A. Berasategui,I. Ljubicic,S. Koubek,J. Vacek,O. Mutis,G. Muller,R. Schuettler,J. Vanek,T. Henman,E. Korolev,P. Starace,S. Robert,M. González,A. Kuznetsov,F. Volandri,B. Kavcic,M. Cecchinato,B. Becker,A. Kuznetsov,J. Vesely,S. Kwon
92,P. Cornejo,C. Graebner,R. Kreiss,M. Cahill,D. Joubert,E. Deblicker,M. Mitchell,V. Winitsky,P. Fleming,T. Moor,C. Panatta,R. Simpson,M. Schapers,B. Green,M. Anger,K. Evernden,L. Lavalle,G. Connell,G. Raoux,J. Stark,M. Filippini,N. Pereira,D. Rikl,G. Stafford,G. Schaller,M. Zabaleta,W. Arthurs,G. Bastl,A. Di Pasquale,M. Verkerk,J. Gimelstob,A. Corretja,D. Bracciali,F. Dancevic,G. García-López,D. Sela,J. Ouanna,T. Gabashvili,E. Prodon,R. Ramirez Hidalgo,J. Reister,A. Haider-Maurer,M. Jaziri,F. Bagnis,R. Bemelmans,J. Kubler,P. Gojowczyk
93,J. McManus,H. Ploetz,A. Zugarelli,T. Koch,A. Pattison,G. Ocleppo,J. Velasco Sr,S. Simonsson,J. Lopez-Maeso,D. Keretic,R. Stadler,J. Alexander,N. Odizor,N. Odizor,K. Jones,M. Laurendeau,F. Davin,G. Layendecker,J. Eltingh,P. McEnroe,L. Herrera,C. Bergstrom,H. Gumy,T. Johansson,J. Kroslak,A. Portas,M. Filippini,P. Srichaphan,R. Delgado,A. Dupuis,A. Montañes,J. Mónaco,J. Bjorkman,J. Tipsarevic,C. Guccione,C. Rochus,R. Schuettler,T. Dent,A. Falla,R. Ram,S. Stakhovsky,A. Gonzalez,M. Youzhny,J. Mónaco,N. Kicker,B. Klahn,D. Dzumhur
94,S. Baranyi,G. Battrick,A. Amritraj,M. Estep,A. Stone,J. Kodes,A. Pierola,D. Bedel,P. Hjertquist,M. Doyle,M. Westphal,C. Dowdeswell,H. Van Boeckel,V. Amritraj,J. Carlsson,U. Riglewski,D. Cahill,J. Stoltenberg,P. Cash,L. Jonsson,D. Vacek,M. Hadad,M. Tebbutt,A. Olhovskiy,D. Sanguinetti,W. Black,A. Gaudenzi,G. Puentes,S. Sargsian,J. Melzer,R. Soderling,J. Blake,B. Phau,A. Di Mauro,T. Gabashvili,K. Vliegen,W. Odesnik,J. Hajek,B. Kavcic,A. Ungur,L. Mayer,D. Brown,A. Kuznetsov,A. Seppi,T. Fritz,R. Carballés Baena,S. Johnson
95,P. Cramer,B. Giltinan,G. Reid,S. Krulevitz,M. Fishbach,A. Amritraj,J. Haillet,S. Stewart,J. Nystrom,G. Rinaldini,V. Winitsky,D. Pate,T. Muster,B. Testerman,B. Oresar,J. Bates,J. Arias,K. Jones,M. Zoecke,A. Jarryd,J. Grabb,J. Frana,E. Sanchez,G. Blanco,F. Vicente,S. Sargsian,S. Lareau,D. Elsner,C. Woodruff,C. Mamiit,J. Boutter,Y. Lu,T. Ascione,D. Norman,M. Mirnyi,J. Levine,S. Darcis,B. Dabul,D. Sela,A. Montañes,A. Falla,S. Groth,G. Pella,E. Donskoy,A. Bublik,H. Hurkacz,B. Schnur
96,H. Kary,I. Molina,C. Owens,S. Ball,H. Pohmann,W. Zirngibl,P. Dent,P. Slozil,J. Fillol Sr.,G. Forget,T. Moor,D. Goldie,B. Drewett,D. Rostagno,B. Scanlon,P. Cane,M. Davis,P. Chamberlin,E. Masso,A. Antonitsch,O. Camporese,R. Gilbert,S. Noszaly,S. Simian,A. Pavel,J. Van Herck,R. Federer,D. Sanchez,H. Lee,M. Rosset,J. Lisnard,R. Sluiter,J. Haehnel,F. Vicente,F. Serra,R. Haase,N. Massú,P. Mathieu,F. Cipolla,S. Stakhovsky,J. Huta Galung,H. Zeballos,N. Basilashvili,K. Kravchuk,L. Djere,Y. Bhambri,C. Moutet
97,T. Edlefsen,J. Whitlinger,J. Caujolle,E. Van Dillen,W. Prinsloo,J. James,B. Martin,K. Eberhard,C. Roger-Vasselin,J. Simpson,R. Krishnan,J. Lapidus,M. Bauer,J. Arrese,J. Rive,T. Wilkison,E. Bengoechea,A. Mancini,G. Muller,M. Gorriz,G. Markus,F. Meligeni,S. Lareau,N. Pereira,E. Benfele Alvarez,B. Steven,M. Mirnyi,F. Mantilla,A. Simoni,J. Knowle,D. Sanguinetti,J. Morrison,W. Arthurs,T. Alves,N. Lapentti,M. Zverev,F. Mayer,F. Volandri,D. Junqueira,I. Sijsling,M. Russell,J. Mónaco,F. Krajinovic,Y. Nishioka,C. Berlocq,G. Andreozzi,B. Klahn
98,J. Bartlett,M. Estep,R. Emerson,B. Hewitt,J. Feaver,O. Bengtson,S. Stewart,G. Masters,R. Stadler,B. Fritz,M. Leach,L. Bourne,W. Popp,A. Maurer,R. Reneberg,P. Aldrich,L. Duncan,T. Benhabiles,J. Oncins,T. Martin,R. Gilbert,K. Alami,F. Santoro,K. Goossens,J. Burillo,M. Woodforde,X. Malisse,H. Gumy,A. Savolt,V. Voltchkov,T. Behrend,A. Dupuis,N. Almagro,O. Marach,Y. Lu,F. Volandri,V. Crivoi,C. Berlocq,M. Bachinger,A. Haider-Maurer,S. Devvarman,M. Ebden,J. Duckworth,J. Thompson,S. Stakhovsky,J. Donaldson,E. Gerasimov
99,A. Amritraj,J. Delaney,K. Johansson,I. El Shafei,P. Cornejo,D. Crealy,L. Sanders,C. Delaney,P. Bertolucci,G. Barbosa,N. Saviano,S. Denton,M. De Palmer,B. Teacher,P. Kuhnen,A. Volkov,N. Pereira,P. Annacone,R. Fromberg,G. Raoux,F. Meligeni,N. Kulti,M. Hadad,N. Godwin,J. Knippschild,T. Nydahl,M. Rodriguez,M. Tabara,R. Sluiter,A. Vinciguerra,C. Saulnier,N. Almagro,W. Moodie,G. Muller,E. Roger-Vasselin,P. Andújar,M. Russell,I. Andreev,M. Russell,J. Blake,D. Kudla,T. Smyczek,R. Albot,J. Donaldson,B. Kavcic,Y. Sugita,J. Munar
100,J. Mandarino,J. Ganzabal,B. Teacher,A. Gimenez,P. Kronk,B. Scanlon,F. Taygan,P. Bertolucci,J. Alexander,H. Sundstrom,J. Fillol Sr.,J. Frawley,P. Arraya,S. Giammalva Jr.,S. Eriksson,C. Limberger,H. De La Pena,J. Bates,R. Azar,H. Skoff,D. Nargiso,P. McEnroe,J. Golmard,D. Hrbaty,A. Voinea,J. Gimelstob,A. Dupuis,A. Gaudenzi,J. Blake,Z. Krajan,F. Verdasco,A. Calatrava,A. Costa,B. Pashanski,M. Zverev,M. Berrer,D. Istomin,B. Phau,I. Andreev,D. Tursunov,M. Kukushkin,T. Kamke,Y. Lu,R. Albot,M. Cecchinato,I. Ivashka,L. Mayer
